artistName,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,release_date,genres
The Doors,Riders on the Storm,0.549,0.722,11.0,-11.729,0.0,0.0283,0.25,0.0138,0.11,0.716,103.885,audio_features,14XWXWv5FoCbFzLksawpEe,spotify:track:14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe,434720.0,4.0,1971-04-19,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']"
Ciara,Thinkin Bout You,0.893,0.73,6.0,-4.375,0.0,0.0437,0.121,0.0075,0.0939,0.819,106.988,audio_features,594trlRjNdTyYLwIlcDaJM,spotify:track:594trlRjNdTyYLwIlcDaJM,https://api.spotify.com/v1/tracks/594trlRjNdTyYLwIlcDaJM,https://api.spotify.com/v1/audio-analysis/594trlRjNdTyYLwIlcDaJM,228560.0,4.0,2019-05-10,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
Anderson .Paak,Winners Circle,0.764,0.591,2.0,-8.81,1.0,0.307,0.182,8.32e-06,0.396,0.694,94.089,audio_features,3AN70xkC9i9fFBpKlukRhY,spotify:track:3AN70xkC9i9fFBpKlukRhY,https://api.spotify.com/v1/tracks/3AN70xkC9i9fFBpKlukRhY,https://api.spotify.com/v1/audio-analysis/3AN70xkC9i9fFBpKlukRhY,209238.0,4.0,2019-04-12,['escape room']
Björk,Notget (Lotic Keptsafe Version),0.258,0.42,2.0,-11.196,0.0,0.0436,0.0621,0.0,0.235,0.141,94.535,audio_features,2XmOzqN1S5o0sgUhNKYDgg,spotify:track:2XmOzqN1S5o0sgUhNKYDgg,https://api.spotify.com/v1/tracks/2XmOzqN1S5o0sgUhNKYDgg,https://api.spotify.com/v1/audio-analysis/2XmOzqN1S5o0sgUhNKYDgg,322076.0,4.0,2015-06-29,"['alternative dance', 'art pop', 'dance pop', 'electronica', 'electropop', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'metropopolis', 'permanent wave', 'trip hop']"
2 Chainz,Feds Watching,0.79,0.875,7.0,-6.55,1.0,0.091,0.0476,0.0,0.312,0.759,139.985,audio_features,07RXBKfyCYIYRMLCvlGWXU,spotify:track:07RXBKfyCYIYRMLCvlGWXU,https://api.spotify.com/v1/tracks/07RXBKfyCYIYRMLCvlGWXU,https://api.spotify.com/v1/audio-analysis/07RXBKfyCYIYRMLCvlGWXU,247013.0,4.0,2013-01-01,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Grateful Dead,St. Stephen - 2015 Remaster,0.375,0.437,9.0,-10.004,1.0,0.0573,0.561,1.3e-05,0.11,0.544,89.842,audio_features,46uAEhPXaswDFozujK2yoB,spotify:track:46uAEhPXaswDFozujK2yoB,https://api.spotify.com/v1/tracks/46uAEhPXaswDFozujK2yoB,https://api.spotify.com/v1/audio-analysis/46uAEhPXaswDFozujK2yoB,266560.0,4.0,2015-03-27,"['classic rock', 'cosmic american', 'country rock', 'folk rock', 'jam band', 'psychedelic rock', 'rock', 'roots rock']"
Kanye West,I'll Fly Away,,,,,,,,,,,,,,,,,,,,
David Ruffin,Walk Away From Love,0.62,0.804,10.0,-7.606,1.0,0.0937,0.248,1.07e-05,0.213,0.776,102.265,audio_features,5cAGsX0EzCqKuQr7nui6T7,spotify:track:5cAGsX0EzCqKuQr7nui6T7,https://api.spotify.com/v1/tracks/5cAGsX0EzCqKuQr7nui6T7,https://api.spotify.com/v1/audio-analysis/5cAGsX0EzCqKuQr7nui6T7,328920.0,4.0,1975-10-14,"['classic soul', 'motown', 'quiet storm', 'soul']"
El Michels Affair,Tearz,0.75,0.382,8.0,-8.466,1.0,0.0312,0.29,0.298,0.279,0.454,97.226,audio_features,53NSKqbkbEXM68YTxJGvPM,spotify:track:53NSKqbkbEXM68YTxJGvPM,https://api.spotify.com/v1/tracks/53NSKqbkbEXM68YTxJGvPM,https://api.spotify.com/v1/audio-analysis/53NSKqbkbEXM68YTxJGvPM,151927.0,4.0,2017-04-14,"['afrobeat', 'funk', 'indie jazz', 'indie soul', 'instrumental soul', 'soul']"
Tommy Cash,Pussy Money Weed,0.705,0.46,8.0,-8.556,1.0,0.3,0.556,0.0,0.112,0.443,140.203,audio_features,6xbozk9YUx4QUC7TmiPSlA,spotify:track:6xbozk9YUx4QUC7TmiPSlA,https://api.spotify.com/v1/tracks/6xbozk9YUx4QUC7TmiPSlA,https://api.spotify.com/v1/audio-analysis/6xbozk9YUx4QUC7TmiPSlA,214623.0,4.0,2018-01-23,"['estonian hip hop', 'hyperpop']"
